año	total	deuda	créditos	nombre
2007	5614950	5614950	0	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS
2007	12558073	12558073	0	ÁFRICA, NO ESPECIFICADOS
2007	10161353	10161353	0	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS
2007	5878160	5878160	0	AMÉRICA DEL SUR, NO ESPECIFICADOS
2007	47659419	47659419	0	AMÉRICA, NO ESPECIFICADOS
2007	0	0	0	ASIA CENTRAL, NO ESPECIFICADOS
2007	714274	714274	0	ASIA ORIENTAL, NO ESPECIFICADOS
2007	0	0	0	ASIA SUR, NO ESPECIFICADOS
2007	2367000	2367000	0	ASIA, NO ESPECIFICADOS
2007	1232900	1232900	0	EUROPA, NO ESPECIFICADOS
2007	1568520	1568520	0	MAGREB, NO ESPECIFICADOS
2007	241200	241200	0	MEDITERRÁNEO, NO ESPECIFICADOS
2007	3803477	3803477	0	NORTE DE ÁFRICA, NO ESPECIFICADOS
2007	0	0	0	OCEANÍA, NO ESPECIFICADOS
2007	2588203	2588203	0	ORIENTE MEDIO, NO ESPECIFICADOS
2007	270797845	270797845	0	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS
2008	64968928	64968928	0	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS
2008	121027318	121027318	0	ÁFRICA, NO ESPECIFICADOS
2008	27018598	31487425	4468827	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS
2008	24523073	24523073	0	AMÉRICA DEL SUR, NO ESPECIFICADOS
2008	492034963	492045826	10863	AMÉRICA, NO ESPECIFICADOS
2008	1877807	1877807	0	ASIA CENTRAL, NO ESPECIFICADOS
2008	7987480	7987480	0	ASIA ORIENTAL, NO ESPECIFICADOS
2008	737468	737468	0	ASIA SUR, NO ESPECIFICADOS
2008	53003395	53003395	0	ASIA, NO ESPECIFICADOS
2008	30948758	30948758	0	EUROPA, NO ESPECIFICADOS
2008	300000	300000	0	MAGREB, NO ESPECIFICADOS
2008	18486913	18486913	0	NORTE DE ÁFRICA, NO ESPECIFICADOS
2008	3691624	3691624	0	OCEANÍA, NO ESPECIFICADOS
2008	25230820	25230820	0	ORIENTE MEDIO, NO ESPECIFICADOS
2008	1583162	1583162	0	PAÍSES DE LA CARICOM, NO ESPECIFICADOS
2008	794911891	811837648	16925757	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS
2009	134123844	134123844	0	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS
2009	116992398	116992398	0	ÁFRICA, NO ESPECIFICADOS
2009	19519309	19519309	0	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS
2009	17886137	17886137	0	AMÉRICA DEL SUR, NO ESPECIFICADOS
2009	196003178	200346849	4343671	AMÉRICA, NO ESPECIFICADOS
2009	2212248	2212248	0	ASIA CENTRAL, NO ESPECIFICADOS
2009	320237	320237	0	ASIA ORIENTAL, NO ESPECIFICADOS
2009	1043592	1043592	0	ASIA SUR, NO ESPECIFICADOS
2009	17799211	17799211	0	ASIA, NO ESPECIFICADOS
2009	1384262	1384262	0	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS
2009	20646758	20646758	0	EUROPA, NO ESPECIFICADOS
2009	1138191	1138191	0	MAGREB, NO ESPECIFICADOS
2009	11564060	11564060	0	NORTE DE ÁFRICA, NO ESPECIFICADOS
2009	1972656	1972656	0	OCEANÍA, NO ESPECIFICADOS
2009	8449944	8449944	0	ORIENTE MEDIO, NO ESPECIFICADOS
2009	1072000	1072000	0	PAÍSES DE LA CARICOM, NO ESPECIFICADOS
2009	758655319	758655319	0	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS
2010	188075155	188075155	0	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS
2010	64063771	74263771	10200000	ÁFRICA, NO ESPECIFICADOS
2010	24792948	28734614	3941666	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS
2010	25241784	25241784	0	AMÉRICA DEL SUR, NO ESPECIFICADOS
2010	292428397	292437547	9150	AMÉRICA, NO ESPECIFICADOS
2010	8462626	8462626	0	ASIA CENTRAL, NO ESPECIFICADOS
2010	15056395	15056395	0	ASIA ORIENTAL, NO ESPECIFICADOS
2010	10036655	10036655	0	ASIA SUR, NO ESPECIFICADOS
2010	11871977	11871977	0	ASIA, NO ESPECIFICADOS
2010	293633	293633	0	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS
2010	24066349	24066349	0	EUROPA, NO ESPECIFICADOS
2010	626155	626155	0	MAGREB, NO ESPECIFICADOS
2010	22744667	22744667	0	NORTE DE ÁFRICA, NO ESPECIFICADOS
2010	5506199	5506199	0	OCEANÍA, NO ESPECIFICADOS
2010	9075871	9075871	0	ORIENTE MEDIO, NO ESPECIFICADOS
2010	1153970	1153970	0	PAÍSES DE LA CARICOM, NO ESPECIFICADOS
2010	894909539	895604607	695068	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS
2011	50276090	50276090	0	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS
2011	22123175	22123175	0	ÁFRICA, NO ESPECIFICADOS
2011	20143896	24433504	4289608	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS
2011	63350225	63350225	0	AMÉRICA DEL SUR, NO ESPECIFICADOS
2011	118294855	118294855	0	AMÉRICA, NO ESPECIFICADOS
2011	1835062	1835062	0	ASIA CENTRAL, NO ESPECIFICADOS
2011	361890	361890	0	ASIA ORIENTAL, NO ESPECIFICADOS
2011	1812697	1812697	0	ASIA SUR, NO ESPECIFICADOS
2011	29952675	29952675	0	ASIA, NO ESPECIFICADOS
2011	592209	592209	0	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS
2011	38532311	38532311	0	EUROPA, NO ESPECIFICADOS
2011	3500	3500	0	MAGREB, NO ESPECIFICADOS
2011	100565689	100565689	0	NORTE DE ÁFRICA, NO ESPECIFICADOS
2011	1212535	1212535	0	OCEANÍA, NO ESPECIFICADOS
2011	10501789	10501789	0	ORIENTE MEDIO, NO ESPECIFICADOS
2011	2504253	2504253	0	PAÍSES DE LA CARICOM, NO ESPECIFICADOS
2011	545682683.96	547890303.96	2207620	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS
2012	22554545.909999996	22981831.089999996	427285.18	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS
2012	10631611.97	11118932.360000001	487320.39	ÁFRICA, NO ESPECIFICADOS
2012	32075417.2	32242833.61	167416.41	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS
2012	3229462.730000001	3229462.730000001	0	AMÉRICA DEL SUR, NO ESPECIFICADOS
2012	11974812.660000002	11974812.660000002	0	AMÉRICA, NO ESPECIFICADOS
2012	83942.94	83942.94	0	ASIA CENTRAL, NO ESPECIFICADOS
2012	25468.11	25468.11	0	ASIA ORIENTAL, NO ESPECIFICADOS
2012	349051.07	349051.07	0	ASIA SUR, NO ESPECIFICADOS
2012	40604	40604	0	ASIA, NO ESPECIFICADOS
2012	1670.04	1670.04	0	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS
2012	732752.26	732752.26	0	EUROPA, NO ESPECIFICADOS
2012	491946.13	491946.13	0	MAGREB, NO ESPECIFICADOS
2012	1518775.63	1518775.63	0	MEDITERRÁNEO, NO ESPECIFICADOS
2012	2364325.2700000005	2364325.2700000005	0	NORTE DE ÁFRICA, NO ESPECIFICADOS
2012	90474.23	90474.23	0	OCEANÍA, NO ESPECIFICADOS
2012	846237.0499999999	846237.0499999999	0	ORIENTE MEDIO, NO ESPECIFICADOS
2012	486764.27	486764.27	0	PAÍSES DE LA CARICOM, NO ESPECIFICADOS
2012	1027774602.0699999	1028024810.3499999	250208.28	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS
