año	subcontinente	créditos
2007	005	0
2007	015	0
2007	021	0
2007	030	0
2007	034	0
2007	143	0
2007	145	0
2008	005	0
2008	015	0
2008	021	4468827
2008	030	0
2008	034	0
2008	143	0
2008	145	0
2009	005	0
2009	015	0
2009	021	0
2009	030	0
2009	034	0
2009	143	0
2009	145	0
2010	005	0
2010	015	0
2010	021	3941666
2010	030	0
2010	034	0
2010	143	0
2010	145	0
2011	005	0
2011	015	0
2011	021	4289608
2011	030	0
2011	034	0
2011	143	0
2011	145	0
2012	005	0
2012	015	0
2012	021	167416.41
2012	030	0
2012	034	0
2012	143	0
2012	145	0
